V1,V2,V3,V4,V5,V6,V7
BX2,198,.J6,4,BX2,198,.J6
BX2,435,.T9,45,BX2,435,.T9
BX4,705,.D2,5B8,6,BX4,705
BT7,71,3.C,66,BT7,71,3.C
BV1,99,D3E,37,BV1,99,D3E
BR1,720,.A9,W55,BR1,720,.A9
BX1,913,.R8,3,BX1,913,.R8
BX4,705,.H3,6G7,6,BX4,705
BX4,655,.O5,45,BX4,655,.O5
BR1,15,C8K,65,BR1,15,C8K
BT6,3,B44,BT6,3,B44,BT6
PR4,453,.C4,PR4,453,.C4,PR4
BX2,182,.N6,742,BX2,182,.N6
HQ8,1,E94,5,HQ8,1,E94
BR1,15,W6B,36,BR1,15,W6B
BX1,795,.S4,8W4,7,BX1,795
BX1,756,.N5,D5,BX1,756,.N5
BX4,705,.R3,4A3,BX4,705,.R3
BV2,45,O94,BV2,45,O94,BV2
F10,38,A73,F10,38,A73,F10
BR6,5.A,6,BR6,5.A,6,BR6
BX4,705,.N5,T66,BX4,705,.N5
BX4,700,.B2,8B4,721,3,BX4
BX2,179,.T4,M63,BX2,179,.T4
BX1,751,.J6,267,BX1,751,.J6
BX4,705,.N5,T66,BX4,705,.N5
BT6,5,2,BT6,5,2,BT6
BX1,752,.M2,4,BX1,752,.M2
BT4,31,G76,BT4,31,G76,BT4
BX2,350,.G7,67,BX2,350,.G7
HQ7,67,U5S,43,HQ7,67,U5S
BX4,705,.N5,A3,BX4,705,.N5
BT3,55,V3,BT3,55,V3,BT3
BX1,912,.P7,413,BX1,912,.P7
BX4,700,.F6,A79,BX4,700,.F6
BR6,0.I,54,BR6,0.I,54,BR6
BT3,80,C65,BT3,80,C65,BT3
BX2,350,.E8,351,3,BX2,350
BX2,350,.T4,67,BX2,350,.T4
BV4,447,.K5,6,BV4,447,.K5
HD5,7.K,727,HD5,7.K,727,HD5
BV2,60,B37,BV2,60,B37,BV2
BR1,15,H5B,313,BR1,15,H5B
BV4,905,.L4,BV4,905,.L4,BV4
BV4,832,.M4,7,BV4,832,.M4
BX4,700,.P2,5C5,6,BX4,700
BX2,350,0.2,BX2,350,0.2,BX2
BX4,700,.S4,7M3,7,BX4,700
BX8,80,.W8,6A3,BX8,80,.W8
BX2,380,.B8,3,BX2,380,.B8
BX1,378,.7.,S68,BX1,378,.7.
